native_text,english_text,category,part_of_speech,level,example_sentence,english_audio_url,native_audio_url,image_url,sort_order
,sixty one,numbers,number,basic,The number is sixty one.,,,,61
,sixty two,numbers,number,basic,The number is sixty two.,,,,62
,sixty three,numbers,number,basic,The number is sixty three.,,,,63
,sixty four,numbers,number,basic,The number is sixty four.,,,,64
,sixty five,numbers,number,basic,The number is sixty five.,,,,65
,sixty six,numbers,number,basic,The number is sixty six.,,,,66
,sixty seven,numbers,number,basic,The number is sixty seven.,,,,67
,sixty eight,numbers,number,basic,The number is sixty eight.,,,,68
,sixty nine,numbers,number,basic,The number is sixty nine.,,,,69
,seventy,numbers,number,basic,The number is seventy.,,,,70
,seventy one,numbers,number,basic,The number is seventy one.,,,,71
,seventy two,numbers,number,basic,The number is seventy two.,,,,72
,seventy three,numbers,number,basic,The number is seventy three.,,,,73
,seventy four,numbers,number,basic,The number is seventy four.,,,,74
,seventy five,numbers,number,basic,The number is seventy five.,,,,75
,seventy six,numbers,number,basic,The number is seventy six.,,,,76
,seventy seven,numbers,number,basic,The number is seventy seven.,,,,77
,seventy eight,numbers,number,basic,The number is seventy eight.,,,,78
,seventy nine,numbers,number,basic,The number is seventy nine.,,,,79
,eighty,numbers,number,basic,The number is eighty.,,,,80
,eighty one,numbers,number,basic,The number is eighty one.,,,,81
,eighty two,numbers,number,basic,The number is eighty two.,,,,82
,eighty three,numbers,number,basic,The number is eighty three.,,,,83
,eighty four,numbers,number,basic,The number is eighty four.,,,,84
,eighty five,numbers,number,basic,The number is eighty five.,,,,85
,eighty six,numbers,number,basic,The number is eighty six.,,,,86
,eighty seven,numbers,number,basic,The number is eighty seven.,,,,87
,eighty eight,numbers,number,basic,The number is eighty eight.,,,,88
,eighty nine,numbers,number,basic,The number is eighty nine.,,,,89
,ninety,numbers,number,basic,The number is ninety.,,,,90
,ninety one,numbers,number,basic,The number is ninety one.,,,,91
,ninety two,numbers,number,basic,The number is ninety two.,,,,92
,ninety three,numbers,number,basic,The number is ninety three.,,,,93
,ninety four,numbers,number,basic,The number is ninety four.,,,,94
,ninety five,numbers,number,basic,The number is ninety five.,,,,95
,ninety six,numbers,number,basic,The number is ninety six.,,,,96
,ninety seven,numbers,number,basic,The number is ninety seven.,,,,97
,ninety eight,numbers,number,basic,The number is ninety eight.,,,,98
,ninety nine,numbers,number,basic,The number is ninety nine.,,,,99
,one hundred,numbers,number,basic,The number is one hundred.,,,,100
